ID1,ID2,Special
2,BAFAun,
3,BAFAunp,
4,BGxh1,
5,BGxh2,
6,BGxh3,
7,BGxw1,
8,BGxw2,
9,BWBSdk,
10,BWBSmk,
11,BWBSmw,
12,BWBSvk,snow
13,BWBSwk1,
14,BWBSwk2,
15,BWBSwk3,
16,CDFmm,
17,CMAun,
18,CMAunp,
19,CMAwh,
20,CWHdm,
21,CWHds1,
22,CWHds2,
23,CWHmm1,
24,CWHmm2,
25,CWHms1,
26,CWHms2,
27,CWHvh1,
28,CWHvh2,
29,CWHvh3,
30,CWHvm1,
31,CWHvm2,
32,CWHwh1,
33,CWHwh2,
34,CWHwm,
35,CWHws1,
36,CWHws2,
37,CWHxm1,
38,CWHxm2,
39,ESSFdc1,
40,ESSFdc2,
41,ESSFdc3,
42,ESSFdcp,
43,ESSFdcw,
44,ESSFdk1,
45,ESSFdk2,
46,ESSFdkp,
47,ESSFdkw,
48,ESSFdv1,
49,ESSFdv2,
50,ESSFdvp,
51,ESSFdvw,
52,ESSFmc,
53,ESSFmcp,
54,ESSFmh,
55,ESSFmk,
56,ESSFmkp,
57,ESSFmm1,
58,ESSFmm2,
59,ESSFmm3,
60,ESSFmmp,
61,ESSFmmw,
62,ESSFmv1,
63,ESSFmv2,
64,ESSFmv3,
65,ESSFmv4,
66,ESSFmvp,
67,ESSFmw,
68,ESSFmw1,
69,ESSFmw2,
70,ESSFmwp,
71,ESSFmww,
72,ESSFun,
73,ESSFunp,
74,ESSFvc,
75,ESSFvcp,
76,ESSFvcw,
77,ESSFwc2,
78,ESSFwc3,
79,ESSFwc4,
80,ESSFwcp,
81,ESSFwcw,
82,ESSFwh1,
83,ESSFwh2,
84,ESSFwh3,
85,ESSFwk1,
86,ESSFwk2,
87,ESSFwm1,
88,ESSFwm2,
89,ESSFwm3,
90,ESSFwm4,
91,ESSFwmp,
92,ESSFwmw,
93,ESSFwv,
94,ESSFwvp,
95,ESSFxc1,
96,ESSFxc2,
97,ESSFxc3,
98,ESSFxcp,
99,ESSFxcw,
100,ESSFxv1,
101,ESSFxv2,
102,ESSFxvp,
103,ESSFxvw,
104,ICHdk,
105,ICHdm,
106,ICHdw1,
107,ICHdw3,
108,ICHdw4,
109,ICHmc1,
110,ICHmc1a,
111,ICHmc2,
112,ICHmk1,
113,ICHmk2,
114,ICHmk3,
115,ICHmk4,
116,ICHmk5,
117,ICHmm,
118,ICHmw1,
119,ICHmw2,
120,ICHmw3,
121,ICHmw4,
122,ICHmw5,
123,ICHvc,snow
124,ICHvk1,snow
125,ICHvk2,snow
126,ICHwc,
127,ICHwk1,
128,ICHwk2,
129,ICHwk3,
130,ICHwk4,
131,ICHxw,
132,ICHxwa,
133,IDFdc,
134,IDFdk1,
135,IDFdk2,
136,IDFdk3,
137,IDFdk4,
138,IDFdk5,
139,IDFdm1,
140,IDFdm2,
141,IDFdw,
142,IDFmw1,
143,IDFmw2,
144,IDFww,
145,IDFww1,
146,IDFxc,
147,IDFxh1,
148,IDFxh2,
149,IDFxh4,
150,IDFxk,
151,IDFxm,
152,IDFxw,
153,IDFxx2,
154,IMAun,
155,IMAunp,
156,MHmm1,
157,MHmm2,
158,MHmmp,
159,MHun,
160,MHunp,
161,MHwh,
162,MHwh1,
163,MHwhp,
164,MSdc1,
165,MSdc2,
166,MSdc3,
167,MSdk,
168,MSdm1,
169,MSdm2,
170,MSdm3,
171,MSdv,
172,MSdw,
173,MSmw1,
174,MSmw2,
175,MSxk1,
176,MSxk2,
177,MSxk3,
178,MSxv,
179,PPxh1,
180,PPxh2,
181,PPxh3,
182,SBPSdc,
183,SBPSmc,
184,SBPSmk,
185,SBPSxc,
186,SBSdh1,
187,SBSdh2,
188,SBSdk,
189,SBSdw1,
190,SBSdw2,
191,SBSdw3,
192,SBSmc1,
193,SBSmc2,
194,SBSmc3,
195,SBSmh,
196,SBSmk1,
197,SBSmk2,
198,SBSmm,
199,SBSmw,
200,SBSun,
201,SBSvk,snow
202,SBSwk1,
203,SBSwk2,
204,SBSwk3,
205,SBSwk3a,
206,SWBmk,
207,SWBmks,
208,SWBun,
209,SWBuns,
210,SWBvk,snow
211,SWBvks,snow
