Code,TreeCode
ABIEAMA,Ba
ABIEBAL,Bb
ABIECON,Bc
ABIEGRA,Bg
ABIELAS,Bl
ABIEMAG1,Bm
ABIEPRO,Bp
ABIES,B
ACER,M
ACERCIR,Mv
ACERMAC,Mb
ACERNEG,Me
ACERPLA,Mn
ACERPSE,Ms
AILAALT,Oj
ALNURUB,Dr
ALNUS,D
ARBUMEN,Ra
ARBUTUS,R
BETUALL,Ey
BETULA,E
BETUNEO,Ea
BETUOCC,Ew
BETUPAP,Ep
BETUPEN,Ee
BETUPUB,Es
BETUPUB1,Es
BETUXWI,Exp
CALODEC,Oa
CARYOVA,Oi
CHAMAEC,Y
CHAMLAW,Yp
CHAMNOO,Yc
CORNNUT,Gp
CORNUS,G
FRAXAME,Oh
FRAXLAT,Og
JUGLAIL,Ok
JUNIMAR,Js
JUNIPER,J
JUNISCO,Jr
LARIGME,Ld
LARILAR,Lt
LARILYA,La
LARIOCC,Lw
LARISIB,Ls
LARIX,L
MALUFUS,Up
MALUPUM,Ua
MALUS,U
PICEA,S
PICEABI,Sn
PICEAX,Sx
PICEENE,Sxw
PICEENG,Se
PICEGLA,Sw
PICEMAR,Sb
PICESIT,Ss
PICESIX,Sxs
PICEXLU,Sxl
PINUALB,Pa
PINUBAN,Pj
PINUCON,Pl
PINUCON1,Plc
PINUCON2,Pli
PINUFLE,Pf
PINULAM,Ps
PINUMON,Pw
PINUPON,Py
PINURAD,Pm
PINURES,Pr
PINUS,P
PINUXMU,Pxj
POPUBAL,Acb
POPUDEL,Ad
POPULUS,A
POPULX,Ax
POPUTRE,At
POPUTRI,Act
PRUNAVI,Vs
PRUNEMA,Vb
PRUNPEN,Vp
PRUNUS,V
PRUNVIR,Vv
PSEUDOT,F
PSEUMEN,Fd
PSEUMEN1,Fdi
PSEUMEN2,Fdc
PYRUCOM,Of
QUERALB,Qw
QUERCUS,Q
QUERGAR,Qg
QUERROB,Qe
RHAMNUS,K
RHAMPUR,Kc
SALIAMY,Wa
SALIBEB,Wb
SALIDIS,Wd
SALILAS,Wp
SALILAS,Wp
SALISCO,Ws
SALISIT,Wt
SALIX,W
SEQUGIG,Ob
SEQUSEM,Oc
SORBAUC,Od
TAXUBRE,Tw
TAXUS,T
THUJA,C
THUJPLI,Cw
TSUGA,H
TSUGHEE,Hxm
TSUGHET,Hw
TSUGMER,Hm
ULMUPUM,Oe
ALNUINC,Dm
